category,food_name,serving_size,calories_kcal
Sodas & Carbonated Drinks,Sprite,1 bottle (50cl),190
Sodas & Carbonated Drinks,7UP,1 bottle (50cl),185
Sodas & Carbonated Drinks,Mirinda Orange,1 bottle (50cl),215
Sodas & Carbonated Drinks,Mirinda Strawberry,1 bottle (50cl),210
Sodas & Carbonated Drinks,Mountain Dew,1 bottle (50cl),220
Sodas & Carbonated Drinks,Schweppes Bitter Lemon,1 bottle (50cl),130
Sodas & Carbonated Drinks,Schweppes Chapman,1 bottle (50cl),150
Sodas & Carbonated Drinks,Teem (Citrus Soda),1 bottle (50cl),185
Sodas & Carbonated Drinks,Bigi Cola,1 bottle (50cl),205
Sodas & Carbonated Drinks,Bigi Apple,1 bottle (50cl),195
Sodas & Carbonated Drinks,Bigi Tropical,1 bottle (50cl),200
Sodas & Carbonated Drinks,Five Alive (Citrus),1 pack (200ml),110
Sodas & Carbonated Drinks,Coke Zero / Diet Coke,1 bottle (50cl),2
Sodas & Carbonated Drinks,Pepsi Zero Sugar,1 bottle (50cl),0
Sodas & Carbonated Drinks,Lacasera (Apple Soda),1 bottle (33cl),140
Sodas & Carbonated Drinks,Energy Drink (Fearless),1 can (250ml),110
Sodas & Carbonated Drinks,Energy Drink (Power Horse),1 can (250ml),115
Sodas & Carbonated Drinks,Red Bull,1 can (250ml),115
Sodas & Carbonated Drinks,Predator Energy Drink,1 can (500ml),220
Malt Drinks,Malta Guinness,1 bottle (33cl),170
Malt Drinks,Maltina,1 bottle (33cl),165
Malt Drinks,Amstel Malta,1 bottle (33cl),155
Malt Drinks,Hi-Malt,1 bottle (33cl),160
Malt Drinks,Dubic Malt,1 bottle (33cl),150
Malt Drinks,Grand Malt,1 bottle (33cl),162
Malt Drinks,Power Malt,1 bottle (33cl),158
Malt Drinks,Maltina Sip-It (can),1 can (25cl),130
Malt Drinks,Malta Guinness (big bottle),1 bottle (60cl),310
Malt Drinks,Vitamalt,1 bottle (33cl),155
Beer & Alcoholic Drinks,Guinness Stout (Nigerian),1 bottle (60cl),250
Beer & Alcoholic Drinks,Star Lager Beer,1 bottle (60cl),235
Beer & Alcoholic Drinks,Heineken,1 bottle (60cl),240
Beer & Alcoholic Drinks,Budweiser,1 bottle (33cl),145
Beer & Alcoholic Drinks,33 Export Lager,1 bottle (60cl),225
Beer & Alcoholic Drinks,Harp Lager Beer,1 bottle (60cl),220
Beer & Alcoholic Drinks,Trophy Lager,1 bottle (60cl),215
Beer & Alcoholic Drinks,Goldberg Lager,1 bottle (60cl),218
Beer & Alcoholic Drinks,Life Beer (Nigerian),1 bottle (60cl),210
Beer & Alcoholic Drinks,Dubic Lager,1 bottle (60cl),205
Beer & Alcoholic Drinks,Origin Lager Beer,1 bottle (60cl),208
Beer & Alcoholic Drinks,Hero Lager Beer,1 bottle (60cl),212
Beer & Alcoholic Drinks,Legend Extra Stout,1 bottle (60cl),255
Beer & Alcoholic Drinks,Satzenbrau,1 bottle (33cl),130
Beer & Alcoholic Drinks,Orijin (Herbal Spirit Drink),1 can (33cl),165
Beer & Alcoholic Drinks,Orijin Zero (Non-alcoholic),1 can (33cl),100
Beer & Alcoholic Drinks,Smirnoff Ice,1 bottle (27.5cl),170
Beer & Alcoholic Drinks,Alomo Bitters,1 shot (30ml),65
Beer & Alcoholic Drinks,Ogogoro (Local Gin),1 shot (30ml),70
Beer & Alcoholic Drinks,Schnapps,1 shot (30ml),75
Beer & Alcoholic Drinks,Seaman's Aromatic Schnapps,1 shot (30ml),72
Beer & Alcoholic Drinks,Gordons Gin,1 shot (30ml),70
Beer & Alcoholic Drinks,Campari,1 shot (30ml),80
Beer & Alcoholic Drinks,Hennessy Cognac,1 shot (30ml),69
Beer & Alcoholic Drinks,Red Wine,1 glass (150ml),125
Beer & Alcoholic Drinks,White Wine,1 glass (150ml),120
Beer & Alcoholic Drinks,Chapman (cocktail),1 glass (300ml),180
Beer & Alcoholic Drinks,Palm Wine (fermented/stronger),1 cup (250ml),130
Drinks & Beverages,Palm Wine,1 cup (250ml),115
Drinks & Beverages,Zobo (Hibiscus Drink),1 cup (250ml),50
Drinks & Beverages,Kunu (Millet Drink),1 cup (250ml),120
Drinks & Beverages,Tiger Nut Drink (Kunun Aya),1 cup (250ml),150
Drinks & Beverages,Fura da Nono,1 cup (250ml),180
Drinks & Beverages,Kunu Gyada (Groundnut Drink),1 cup (250ml),170
Drinks & Beverages,Kunu Zaki (Sweet Kunu),1 cup (250ml),130
Drinks & Beverages,Bissap (Zobo variant),1 cup (250ml),55
Drinks & Beverages,Fresh Coconut Water,1 cup (250ml),45
Drinks & Beverages,Tamarind Drink (Tsamiya),1 cup (250ml),110
Drinks & Beverages,Pineapple Juice (fresh),1 cup (250ml),130
Drinks & Beverages,Watermelon Juice,1 cup (250ml),80
Drinks & Beverages,Soursop (Graviola) Juice,1 cup (250ml),100
Drinks & Beverages,Baobab Drink (Kuka),1 cup (250ml),90
Drinks & Beverages,Agbo Jedi (Herbal Drink),1/2 cup (125ml),30
Drinks & Beverages,Obi Larha Herbal Drink,1/2 cup (125ml),25
Drinks & Beverages,Moringa Leaf Drink,1 cup (250ml),35
Drinks & Beverages,Ginger and Lemon Drink,1 cup (250ml),50
Drinks & Beverages,Pap with Milk (Akamu),1 cup (250ml),200
Drinks & Beverages,Malta (Non-alcoholic malt),1 bottle (330ml),170
